code,Name,yield_basis,effective_yield,non_cut_years_verified,coverage_years,fcf_payout_3y,drop_reason_core,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,in_holdings
79080,きもと,dps_fallback,0.0285714285714285,True,10,1.3891304347826088,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
81370,サンワテクノス,dps_fallback,0.0378548895899053,True,10,0.2356858487151646,A_non_cut_years,,yield_total_fallback_dps,yf,False,False,False,False,False
98310,ヤマダホールディングス,dps_fallback,0.0241635687732342,True,10,0.3669784597827638,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
45340,持田製薬,dps_fallback,0.0227596017069701,True,10,0.2125875173162604,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
33950,サンマルクホールディングス,dps_fallback,0.0168284789644012,True,10,0.9330985915492958,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
18260,佐田建設,dps_fallback,0.0491400491400491,True,10,0.5400326797385621,A_non_cut_years,div_split_adjusted,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,False,False
79420,ＪＳＰ,dps_fallback,0.0327734535026628,True,10,0.4926526475804408,OK,,yield_total_fallback_dps,yf,False,False,False,True,False
35600,ほぼ日,dps_fallback,0.0259740259740259,True,9,,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
50180,ＭＯＲＥＳＣＯ,dps_fallback,0.0229357798165137,True,10,0.538711776187378,A_non_cut_years; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
46900,日本パレットプール,dps_fallback,0.0237520128824476,True,10,0.0597460791635548,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
29180,わらべや日洋ホールディングス,dps_fallback,0.0297520661157024,True,10,,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
97010,東京會舘,dps_fallback,0.0066152149944873,True,10,0.1524390243902439,C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
